query,compass_est,postgres_est,real_rows,rt_compass,rt_postgres,rt_ratio_pg_over_compass,runtime_winner
1,6720.25,5462,5462,1.463,2.077,1.4196855775803143,COMPASS
2,457.0,1938,457,0.587,0.581,0.989778534923339,POSTGRES
3,6058.0,4250,1000,0.794,1.508,1.8992443324937027,COMPASS
4,187.5,3,5,0.363,1.31,3.6088154269972454,COMPASS
5,202114.25,31,0,0.463,0.755,1.630669546436285,COMPASS
6,678926.5,8241,8825,9.215,13.632,1.4793271839392295,COMPASS
7,564035.5,109,286,1.56,4.156,2.664102564102564,COMPASS
8,31467295.75,156986,36938,14.745,24.148,1.6377076975245846,COMPASS
9,1784846000000.0,667190,36938,27.049,31.585,1.167695663425635,COMPASS
10,5.656245e+21,51673512,928442,643.525,629.074,0.9775439959597529,POSTGRES
11,7.429821e+33,280405341,55112855,2804.656,10091.455,3.598107931953152,COMPASS
